Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Tournament Size,Best Distance,Execution Time (s)
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,584,0.01,2,14781.04,1.34
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,999,0.01,3,12569.87,2.31
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,706,0.01,5,14254.78,1.77
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,481,0.01,8,15122.27,1.35
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,742,0.01,10,13415.6,1.93
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,476,0.01,2,12075.31,1.61
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,502,0.01,3,13830.85,1.63
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,337,0.01,5,12632.03,1.14
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,844,0.01,8,12906.39,3.14
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,948,0.01,10,11375.15,3.92
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,299,0.01,2,11928.74,1.42
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,787,0.01,3,13172.92,3.96
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,411,0.01,5,13551.73,2.15
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,585,0.01,8,12438.47,3.17
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,490,0.01,10,13684.62,2.54
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,551,0.05,2,13753.99,1.43
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,386,0.05,3,15375.72,0.96
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,567,0.05,5,13425.26,1.47
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,878,0.05,8,13129.9,2.4
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,422,0.05,10,13514.96,1.16
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,591,0.05,2,10847.77,2.17
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,511,0.05,3,10905.73,1.92
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,402,0.05,5,12963.36,1.44
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,676,0.05,8,9684.92,2.64
berlin52.txt,0.5,ordered_crossover,swap_mutation,100,844,0.05,10,9650.63,3.46
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,626,0.05,2,11453.08,3.13
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,842,0.05,3,9573.66,4.24
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,401,0.05,5,10595.88,2.05
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,474,0.05,8,10443.48,2.55
berlin52.txt,1.0,ordered_crossover,swap_mutation,100,577,0.05,10,11234.68,3.06
berlin52.txt,0.1,ordered_crossover,swap_mutation,100,313,0.1,2,17958.14,0.78
